# UEFI authenticated variable store in XM25QH256 (32MB) dump
# store header @ file 0x923048, FV @ 0x923000 (GUID FFF12B8D-...), size 0x6DFB8, 794 records
# offset    state  attrs  GUID                                   name                       dataLen
0x00925C0C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '041F'                                     1
0x00925C54  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06DB'                                     1
0x00925C9C  0x3f  0x07  71af4759-c8bb-4ff7-a82c-914562c41c72  '0002'                                     12
0x00925CF0  0x3f  0x27  d719b2cb-3d3a-4596-a3bc-dad00e67656f  'db'                                       5118
0x00927130  0x3f  0x27  8be4df61-93ca-11d2-aa0d-00e098032b8c  'KEK'                                      2570
0x00927B80  0x3f  0x27  8be4df61-93ca-11d2-aa0d-00e098032b8c  'PK'                                       973
0x00927F90  0x3f  0x07  0c573b77-eb93-4d3d-affc-5febcafb65b0  'SecureBootMode'                           1
0x00927FEC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0493'                                     1
0x00928034  0x3f  0x07  e1af17d1-4c1c-c279-8b3c-89b35ce27994  '2001'                                     1
0x0092807C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E8E'                                     1
0x009280C4  0x3f  0x03  65cbd9d9-ab77-4a61-b288-2763405d588a  'SCT_1'                                    39
0x00928134  0x3f  0x03  65cbd9d9-ab77-4a61-b288-2763405d588a  'SCT_2'                                    39
0x009281A4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '053C'                                     2
0x009281EC  0x3f  0x07  aeb9c5c1-94f1-4d02-bfd9-4602db2d3c54  'Tcg2PhysicalPresenceFlags'                4
0x00928260  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06DC'                                     2
0x009282A8  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E76'                                     1
0x009282F0  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EAD'                                     1
0x00928338  0x3f  0x03  6339d487-26ba-424b-9a5d-687e25d740bc  'TCG2_DEVICE_DETECTION'                    1
0x009283A4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0791'                                     1
0x009283EC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06D0'                                     1
0x00928434  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0670'                                     1
0x0092847C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06EB'                                     1
0x009284C4  0x3f  0x07  65cbd9d9-ab77-4a61-b288-2763405d588a  'BIQ_POLICY'                               124
